id,text,created_at,public_metrics,in_reply_to_user_id,context_annotations
1644215832510185473,@ellagirwin I should emphasize that someone really has to go over-the-top by repeatedly harassing the same account with no provocation to get their post bounced. This is not a hair-trigger situation.,2023-04-07 05:49:37+00:00,"{'retweet_count': 830, 'reply_count': 1282, 'like_count': 7514, 'quote_count': 93, 'impression_count': 803086}",18988705,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644213281295302659,@EstesRockets 🔥🔥,2023-04-07 05:39:28+00:00,"{'retweet_count': 60, 'reply_count': 112, 'like_count': 762, 'quote_count': 10, 'impression_count': 51104}",996900373439823872,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644201831944404992,@PatrickJBlum These are great,2023-04-07 04:53:59+00:00,"{'retweet_count': 253, 'reply_count': 401, 'like_count': 3627, 'quote_count': 25, 'impression_count': 358585}",903273533647851520,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644199998496677889,@ZubyMusic True,2023-04-07 04:46:42+00:00,"{'retweet_count': 305, 'reply_count': 159, 'like_count': 5455, 'quote_count': 17, 'impression_count': 134042}",57441414,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644197970416394242,@EvaFoxU fazedarrayftw,2023-04-07 04:38:38+00:00,"{'retweet_count': 164, 'reply_count': 325, 'like_count': 2351, 'quote_count': 14, 'impression_count': 326199}",959471389282578432,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644191817561153544,@CBCNews 🤔,2023-04-07 04:14:11+00:00,"{'retweet_count': 1223, 'reply_count': 2800, 'like_count': 21713, 'quote_count': 151, 'impression_count': 1805975}",6433472,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Brand :\n CBC', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644190200522833920,@MiamiHerald Very misleading headline,2023-04-07 04:07:46+00:00,"{'retweet_count': 2464, 'reply_count': 1438, 'like_count': 38448, 'quote_count': 97, 'impression_count': 1484621}",14085040,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644188721585979393,@KanekoaTheGreat 🙈,2023-04-07 04:01:53+00:00,"{'retweet_count': 1007, 'reply_count': 678, 'like_count': 13791, 'quote_count': 47, 'impression_count': 926330}",1085225533623783424,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644186903002902531,@ZubyMusic @stillgray But awesome for trolling,2023-04-07 03:54:39+00:00,"{'retweet_count': 219, 'reply_count': 301, 'like_count': 4359, 'quote_count': 31, 'impression_count': 147754}",57441414,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1644182116790411264,@ZubyMusic 💯,2023-04-07 03:35:38+00:00,"{'retweet_count': 211, 'reply_count': 208, 'like_count': 4625, 'quote_count': 11, 'impression_count': 320499}",57441414,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
