id,text,created_at,public_metrics,context_annotations
1644095821753856002,"Starship is stacked &amp; ready to launch next week, pending regulatory approval https://t.co/fLHTjwOMOT",2023-04-06 21:52:44+00:00,"{'retweet_count': 8297, 'reply_count': 5744, 'like_count': 70767, 'quote_count': 698, 'impression_count': 12588197}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643873905113722880,Starship preparing for launch  🚀 https://t.co/M1pR8rsmYt,2023-04-06 07:10:55+00:00,"{'retweet_count': 22025, 'reply_count': 12079, 'like_count': 218128, 'quote_count': 2031, 'impression_count': 18185637}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643391764064256000,Summary of argument against AI safety https://t.co/Vmg4yJm22Y,2023-04-04 23:15:03+00:00,"{'retweet_count': 18197, 'reply_count': 12314, 'like_count': 202039, 'quote_count': 1465, 'impression_count': 27431955}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1643325697363161088,If the Dem Party had a time machine https://t.co/a1QE7JcGLB,2023-04-04 18:52:32+00:00,"{'retweet_count': 56794, 'reply_count': 17656, 'like_count': 545508, 'quote_count': 2925, 'impression_count': 50748835}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642984664091721733,I wish the media would stop flattering me all time … it’s a bit much guys ☺️,2023-04-03 20:17:23+00:00,"{'retweet_count': 16173, 'reply_count': 18846, 'like_count': 289068, 'quote_count': 1829, 'impression_count': 32178578}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642976364080041984,As promised https://t.co/Jc1TnAqxAV,2023-04-03 19:44:24+00:00,"{'retweet_count': 57123, 'reply_count': 25995, 'like_count': 760395, 'quote_count': 15305, 'impression_count': 77202210}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642962756906418176,https://t.co/wmN5WxUhfQ,2023-04-03 18:50:20+00:00,"{'retweet_count': 83408, 'reply_count': 31723, 'like_count': 893044, 'quote_count': 16486, 'impression_count': 70910766}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642881891270533121,They should really get rid of that 100 IQ maximum limit for creating an account on Instagram,2023-04-03 13:29:00+00:00,"{'retweet_count': 14849, 'reply_count': 13596, 'like_count': 198525, 'quote_count': 1888, 'impression_count': 25256395}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642710694301929473,MetamorphosisAI https://t.co/GvZ2etBfPL,2023-04-03 02:08:44+00:00,"{'retweet_count': 34724, 'reply_count': 9622, 'like_count': 427633, 'quote_count': 1806, 'impression_count': 27819947}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642647801049018368,Credit to Tim Sweeney for realizing this before me https://t.co/92LUkaOEFz,2023-04-02 21:58:49+00:00,"{'retweet_count': 6131, 'reply_count': 4173, 'like_count': 63902, 'quote_count': 339, 'impression_count': 17171018}","['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Brand :\n Twitter', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
